"ntd_id","state_parent_ntd_id","agency_name","division_department","doing_business_as","reporter_type","reporting_module","organization_type","reported_by_ntd_id","reported_by_name","public_sponsor","subrecipient_type","fy_end_date","original_due_date","address_line_1","address_line_2","p_o_box","city","state","zip_code","zip_code_ext","region","url","fta_recipient_id","ueid","service_area_sq_miles","service_area_pop","primary_uza_uace_code","uza_name","tribal_area_name","population","density","sq_miles","voms_do","voms_pt","total_voms","volunteer_drivers","personal_vehicles","tam_tier","number_of_state_counties","number_of_counties_with","state_admin_funds_expended","street_address_geo_reference"
"40009",,"City of Fayetteville","Transit","Fayetteville Area System of Transit","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","467 Hay St",,,"Fayetteville","NC","28301","5565","4","https://www.fayettevillenc.gov/city-services/transit","1112","M7SAWYCADYW1","95","164400","29440","Fayetteville, NC",,"325008","1658.80","195.9","36",,"36",,,"Tier II",,,,"POINT (-78.88477 35.05427)"
"40010",,"City of Gastonia","Transportation","Gastonia Transit","Reduced Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","181 S South St",,"1748","Gastonia","NC","28052","4126","4","https://www.cityofgastonia.com/residents/transportation.html","1063","NY94C2ZGNLR8","45","82653","32653","Gastonia, NC",,"176897","1420","124.6","9",,"9",,,"Tier II",,,,"POINT (-81.18417 35.26257)"
"40011",,"City of High Point","Transit","High Point Transit System","Reduced Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","211 S Hamilton St",,,"High Point","NC","27260","5232","4","https://www.highpointnc.gov/transit","1064","UVJAHE7H36N6","95","116065","38809","High Point, NC",,"167830","1665.10","100.8","16",,"16",,,"Tier II",,,,"POINT (-80.0025 35.95501)"
"40012",,"City of Winston Salem","Department of Transportation","Winston-Salem Transit Authority","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","1060 N Trade St",,,"Winston Salem","NC","27101","1534","4","http://www.wstransit.com/","1114","EHJNTJENMVD3","134","254987","96670","Winston-Salem, NC",,"420924","1354.40","310.8","60",,"60",,,"Tier II",,,,"POINT (-80.24679 36.10769)"
"40014",,"Ms Coast Transportation Authority",,"COAST TRANSIT AUTHORITY","Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","333 Debuys Rd",,,"Gulfport","MS","39507","3827","4","http://www.CoastTransit.com/","1107","WXAMQJQUN546","80","124940","35920","Gulfport--Biloxi, MS",,"236344","1401.50","168.6","35","34","69",,,"Tier II",,,,"POINT (-89.00201 30.40292)"
"40015",,"City of Jackson, MS","Planning/Transit Services",,"Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","200 S President St",,,"Jackson","MS","39201","4307","4","www.ridejtran.com","1109","GNNPTMPBPYM8","61","143709","42211","Jackson, MS",,"347693","1466.10","237.2",,"31","31",,,"Tier II",,,,"POINT (-90.18199 32.29801)"
"40016",,"City of Ashland","Mass Transit","Ashland Bus System","Reduced Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","1700 Greenup Avenue",,"1839","Ashland","KY","41101","7663","4","https://www.ashlandky.gov/residents/ashland_bus_system/index.php","1399","Z52NNQSMJ289","17","23540","40753","Huntington, WV--KY--OH",,"200157","1553.10","128.9","11",,"11",,,"Tier II",,,,"POINT (-82.63715 38.47873)"
"40017",,"Lexington Transit Authority",,"Lextran","Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","200 W Loudon Ave",,,"Lexington","KY","40508","1272","4","http://www.lextran.com/","1104","D6ELHXJ2GPZ9","284","295803","49582","Lexington-Fayette, KY",,"315631","3757.80","84","53","53","106",,,"Tier II",,,,"POINT (-84.48618 38.06105)"
"40018",,"Transit Authority of River City",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","1000 W Broadway",,,"Louisville","KY","40203","2031","4","http://www.ridetarc.org/","1105","MG4HF6GM5CV3","269","715885","51755","Louisville/Jefferson County, KY--IN",,"974397","2430.80","400.9","154","116","270",,,"Tier I (Fixed Route VOMS)",,,,"POINT (-85.76877 38.24719)"
"40019",,"Transit Authority of Northern Kentucky",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","3375 Madison Pike",,,"Covington","KY","41017","9657","4","http://www.tankbus.org/","2613","MN8PKX24AQY7","267","369154","16885","Cincinnati, OH--KY",,"1686744","2242.20","752.3","116",,"116",,,"Tier II",,,,"POINT (-84.52909 39.03637)"
"40020",,"City of Owensboro","Transit","Owensboro Transit Systems","Reduced Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","1410 W 5th St",,"10003","Owensboro","KY","42303",,"4","https://transit.owensboro.org","1106","KQALBJJNAFZ7","21","60011","66484","Owensboro, KY",,"76433","2099.90","36.4","9",,"9",,,"Tier II",,,,"POINT (-87.12665 37.77078)"
"40021",,"City of Albany","Albany Transit Department","Albany Transit System","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","222 Pine Ave",,"447","Albany","GA","31701","2531","4","http://www.albanyga.gov/about-us/city-departments/albany-transit-system","1002","MUGEU1BKEQ93","17","84844","00901","Albany, GA",,"85960","1292.50","66.5","13",,"13",,,"Tier II",,,,"POINT (-84.15243 31.57846)"
"40022",,"Metropolitan Atlanta Rapid Transit Authority",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","2424 Piedmont Rd Ne",,,"Atlanta","GA","30324","3311","4","http://www.itsmarta.com/","1101","LLUNK7XSS1V1","605","1742072","03817","Atlanta, GA",,"5100112","2040.10","2553","538","235","773",,,"Tier I (Rail)",,,,"POINT (-84.36738 33.82217)"
"40023",,"Augusta Richmond County Transit Department","Transit","Augusta Transit","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","535 Telfair St Ste 800",,,"Augusta","GA","30901","2379","4","https://www.augustaga.gov/2770/Transit","1002","ZH93N1J4TBE8","25","206303","04222","Augusta-Richmond County, GA--SC",,"431480","1578.80","273.3",,"19","19",,,"Tier II",,,,"POINT (-81.96161 33.47094)"
"40024",,"Columbus Consolidated Government","Department of Transportation","METRA","Reduced Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","100 10th St",,"1340","Columbus","GA","31901","2736","4","http://www.columbusga.org/metra/","1046","VTN4JMLA7F23","132","230208","19099","Columbus, GA--AL",,"267746","1874.20","142.9","24",,"24",,,"Tier II",,,,"POINT (-84.99108 32.46479)"
"40025",,"Chatham Area Transit Authority",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","900 E Gwinnett St",,"9118","Savannah","GA","31401","6263","4","http://www.catchacat.org/","1103","US81JJFTBQV6","331","303655","79768","Savannah, GA",,"309466","1503.40","205.9","54",,"54",,,"Tier II",,,,"POINT (-81.08162 32.06382)"
"40026",,"Manatee County Board of County Commissioners",,"Manatee County Area Transit","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","2411 Tallevast Rd",,,"Sarasota","FL","34243","3936","4","https://www.mymanatee.org/departments/mcat","1079","GNCDADCGGLJ3","743","439566","09536","Bradenton--Sarasota--Venice, FL",,"779075","1927.10","404.3","57",,"57",,,"Tier II",,,,"POINT (-82.53531 27.40502)"
"40027",,"Pinellas Suncoast Transit Authority",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","3201 Scherer Dr N",,,"Saint Petersburg","FL","33716","1004","4","http://www.psta.net/","1080","EP8PMQ6LPLF5","3840","4052996","86599","Tampa--St. Petersburg, FL",,"2783045","2872.30","968.9","171","333","504",,,"Tier I (Fixed Route VOMS)",,,,"POINT (-82.67647 27.88775)"
"40028",,"Lee County","Public Transportation","LeeTran","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","2115 2nd St",,,"Fort Myers","FL","33901","3012","4","http://www.rideleetran.com/","1083","SS8JCN35XH77","820","840698","13510","Cape Coral, FL",,"599242","1806","331.8","85",,"85",,,"Tier II",,,,"POINT (-81.86984 26.64185)"
"40029",,"Broward County Board of County Commissioners",,"Broward County Transit Division","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","115 S Andrews Ave Ste 409",,,"Fort Lauderdale","FL","33301","1817","4","http://www.broward.org/bct/","1082","P62KF2SJJ237","410","2200561","56602","Miami--Fort Lauderdale, FL",,"6077522","4884.80","1244.20","265","303","568",,,"Tier I (Fixed Route VOMS)",,,,"POINT (-80.14419 26.12134)"
"40030",,"City of Gainesville, FL","Regional Transit System","Regional Transit System","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","200 E University Ave",,"490","Gainesville","FL","32601","5456","4","http://www.go-rts.com/","1084","MNEFBYCXRMR8","106","199300","32167","Gainesville, FL",,"213748","2437.30","87.7","86","33","119",,,"Tier II",,,,"POINT (-82.32293 29.65271)"
